Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00868,0,1.81752,0.00102654,0.0727145,0,0.111504,8.15457e-06,0.115639,0,1.23285,0.0010195,0.0182686,0,0.0876581,8.06508e-06,, , 0.0675371,0.00733546,0.0407669,6.87397,1.61456,1.23285,0.0010195,0.000987789,0.0134359,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.06508e-06,0.0585562
2,15.1906,15.2481,11.341,0.0104794,0.493299,0.497606,3.39209,0.000534975,3.68248,3.73998,9.61444,0.0101659,0.167473,0.17178,2.52364,3.29743e-05,, , 0.52984,6.59864,0.293982,15.1163,10.1133,9.61444,0.0101659,0.0155217,0.191265,0.129148,0.0188401,0.00853657,0.640836,2.52364,3.29743e-05,0.920125
3,4.20965,4.23476,7.27538,0.0209823,0.172739,0.17436,2.85432,0.00149847,0.891731,0.916836,6.41721,0.0203553,0.0690966,0.0707174,1.12479,0.000185462,, , 0.230763,1.44982,0.127988,5.23262,3.23549,6.41721,0.0203553,0.0293457,0.089785,0.0417726,0.00825636,0.00755516,0.204585,1.12479,0.000185462,1.73961
2,15.1906,15.2481,11.3413,0.0106294,0.494379,0.498539,3.4198,0.00231474,3.68251,3.74002,9.61473,0.0103159,0.168553,0.172713,2.55135,0.00014421,, , 0.529906,6.59864,0.293982,15.1163,10.1133,9.61473,0.0103159,0.0155217,0.193248,0.129148,0.0188706,0.00853657,0.640836,2.55135,0.00014421,0.920125
3,4.20965,4.23476,7.27491,0.0209823,0.172739,0.17436,2.84225,0.00149847,0.891731,0.916836,6.41674,0.0203553,0.0690966,0.0707174,1.11272,0.000185462,, , 0.230763,1.44982,0.127988,5.23262,3.23549,6.41674,0.0203553,0.0293457,0.089785,0.0417726,0.00825636,0.00755516,0.204585,1.11272,0.000185462,1.73961
4,6.18992,6.2466,7.76882,0.0390584,0.277253,0.280425,5.75511,0.000412685,1.10314,1.15982,6.418,0.0378043,0.134743,0.137915,2.29709,9.57844e-05,, , 0.465227,1.54823,0.249511,8.74862,4.72399,6.418,0.0378043,0.0584488,0.179973,0.0761984,0.0164865,0.0118465,0.284231,2.29709,9.57844e-05,3.46485
